<http://dbpedia.org/resource/Weobley_High_School>|<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>|<http://dbpedia.org/ontology/School>|"2022-10-19 11:41:58+02:00"^^xsd:dateTime|"2024-07-16 22:58:02+02:00"^^xsd:dateTime|instance_types_lhd_dbo_en
<http://dbpedia.org/resource/Weobley_High_School>|<http://dbpedia.org/ontology/county>|<http://dbpedia.org/resource/Herefordshire>|"2022-10-19 11:41:58+02:00"^^xsd:dateTime|"2024-07-16 22:58:02+02:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/Tom_Holkenborg>|<http://dbpedia.org/ontology/recordLabel>|<http://dbpedia.org/resource/Roadrunner_Records>|"2022-11-14 04:24:21+01:00"^^xsd:dateTime|"2025-01-27 09:29:28+01:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/Roadrunner_Records>|<http://dbpedia.org/ontology/country>|<http://dbpedia.org/resource/Netherlands>|"2022-11-21 02:54:09+01:00"^^xsd:dateTime|"2025-01-28 00:23:03+01:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/Altarum_Institute>|<http://dbpedia.org/ontology/product>|<http://dbpedia.org/resource/Health_care>|"2022-06-04 17:10:47+02:00"^^xsd:dateTime|"2024-10-15 22:12:17+02:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/Altarum_Institute>|<http://dbpedia.org/ontology/type>|<http://dbpedia.org/resource/Nonprofit>|"2022-06-04 17:10:47+02:00"^^xsd:dateTime|"2024-10-15 22:12:17+02:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/Hajime_Toyoshima>|<http://dbpedia.org/ontology/battle>|<http://dbpedia.org/resource/World_War_II>|"2022-08-24 15:17:08+02:00"^^xsd:dateTime|"2024-12-02 19:32:24+01:00"^^xsd:dateTime|instance-types_lang=en_specific
<http://dbpedia.org/resource/World_War_II>|<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>|<http://dbpedia.org/ontology/MilitaryPerson>|"2022-11-25 08:58:30+01:00"^^xsd:dateTime|"2025-02-06 05:36:46+01:00"^^xsd:dateTime|instance_types_lhd_dbo_en
<http://dbpedia.org/resource/Texas_A&M_University–Corpus_Christi>|<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>|<http://dbpedia.org/ontology/University>|"2022-11-18 04:41:17+01:00"^^xsd:dateTime||instance-types_lang=en_specific
<http://dbpedia.org/resource/Texas_A&M_University–Corpus_Christi>|<http://dbpedia.org/ontology/city>|<http://dbpedia.org/resource/Corpus_Christi%2C_Texas>|"2022-11-18 04:41:17+01:00"^^xsd:dateTime||instance-types_lang=en_specific
